"Overall"
"n";"76558"
"matched_vac = 1 (%)";"54267 ( 70.9) "
"matched_control = 1 (%)";"31851 ( 41.6) "
"matched_any = 1 (%)";"54267 ( 70.9) "
"age (mean (SD))";"66.73 (15.05)"
"age_group (%)";""
"   18-49";"10458 ( 13.7) "
"   50-59";"12693 ( 16.6) "
"   60-69";"18575 ( 24.3) "
"   70-79";"19851 ( 25.9) "
"   80-115";"14981 ( 19.6) "
"gender_concept_id = F (%)";"38742 ( 50.6) "
"medea_group_2001 (%)";""
"   0N";" 7982 ( 10.4) "
"   R";"12579 ( 16.4) "
"   U1";"12565 ( 16.4) "
"   U2";"11918 ( 15.6) "
"   U3";"11241 ( 14.7) "
"   U4";"11056 ( 14.4) "
"   U5";" 9217 ( 12.0) "
"aga_name (%)";""
"   Alt Camp i Conca de Barberà";"  792 (  1.0) "
"   Alt Empordà";" 1370 (  1.8) "
"   Alt Maresme";" 1130 (  1.5) "
"   Alt Penedès";" 1139 (  1.5) "
"   Alt Urgell";"  286 (  0.4) "
"   Alta Ribagorça";"   74 (  0.1) "
"   Altebrat";"  556 (  0.7) "
"   Anoia";" 1196 (  1.6) "
"   Bages i Solsonès";" 2202 (  2.9) "
"   Baix Camp i Priorat";" 1562 (  2.0) "
"   Baix Ebre";" 1165 (  1.5) "
"   Baix Empordà";"  494 (  0.6) "
"   Baix Llobregat Centre i Fontsanta -L'H N";" 4997 (  6.5) "
"   Baix Llobregat Litoral i Sant Boi";" 1626 (  2.1) "
"   Baix Llobregat Litoral i Viladecans";" 2096 (  2.7) "
"   Baix Llobregat Nord";" 1636 (  2.1) "
"   Baix Montseny";"  736 (  1.0) "
"   Baix Penedès";"   21 (  0.0) "
"   Baix Vallès";" 2245 (  2.9) "
"   Barcelona Dreta";" 3605 (  4.7) "
"   Barcelona Esquerra";" 5261 (  6.9) "
"   Barcelona Litoral Mar";" 2962 (  3.9) "
"   Barcelona Nord";" 4952 (  6.5) "
"   Barcelonès Nord i Baix Maresme";" 3910 (  5.1) "
"   Berguedà";"  580 (  0.8) "
"   Cerdanya";"    1 (  0.0) "
"   Garraf";" 1879 (  2.5) "
"   Garrotxa";"  586 (  0.8) "
"   Gironès Nord i Pla de l'Estany";" 1925 (  2.5) "
"   Gironès Sud i Selva Interior";" 1108 (  1.4) "
"   L'Hospitalet Sud i el Prat de Llobregat";" 2967 (  3.9) "
"   Lleida";" 4577 (  6.0) "
"   Maresme Central";" 2629 (  3.4) "
"   Montsià";"  941 (  1.2) "
"   Osona";" 1465 (  1.9) "
"   Pallars";"  306 (  0.4) "
"   Ripollès";"  293 (  0.4) "
"   Selva Marítima";"  545 (  0.7) "
"   Tarragonès";" 2250 (  2.9) "
"   Vallès Occidental Est";" 5052 (  6.6) "
"   Vallès Occidental Oest";"  447 (  0.6) "
"   Vallès Oriental Central";" 2950 (  3.9) "
"   NA";"   44 (  0.1) "
"vac_day = 1 (%)";"64373 ( 84.1) "
"cancer_diagnosis_time (%)";""
"   0";"17753 ( 23.2) "
"   1";"15672 ( 20.5) "
"   2";"15036 ( 19.6) "
"   3";"14127 ( 18.5) "
"   4";"13970 ( 18.2) "
"cancer_dx_breast = 1 (%)";"13096 ( 17.1) "
"cancer_dx_prostate = 1 (%)";" 9984 ( 13.0) "
"cancer_dx_colorectal = 1 (%)";"10256 ( 13.4) "
"cancer_dx_lung = 1 (%)";" 3699 (  4.8) "
"cancer_dx_head_neck = 1 (%)";" 2183 (  2.9) "
"cancer_dx_endometrium = 1 (%)";" 1660 (  2.2) "
"cancer_dx_cervix_uterus = 1 (%)";" 1486 (  1.9) "
"cancer_dx_bladder = 1 (%)";" 7127 (  9.3) "
"cancer_dx_liver_biliary = 1 (%)";" 1186 (  1.5) "
"cancer_dx_melanoma = 1 (%)";" 3132 (  4.1) "
"cancer_dx_pancreas = 1 (%)";"  894 (  1.2) "
"cancer_dx_kidney = 1 (%)";" 2794 (  3.6) "
"cancer_dx_gastric = 1 (%)";" 1151 (  1.5) "
"cancer_dx_esophagus = 1 (%)";"  344 (  0.4) "
"cancer_dx_testis = 1 (%)";"  484 (  0.6) "
"cancer_dx_thyroid = 1 (%)";" 1369 (  1.8) "
"cancer_dx_CNS = 1 (%)";"  622 (  0.8) "
"cancer_dx_neuroendocrine = 1 (%)";"  338 (  0.4) "
"cancer_dx_sarcomas = 1 (%)";"  720 (  0.9) "
"cancer_dx_leukemia = 1 (%)";" 1853 (  2.4) "
"cancer_dx_myeloma = 1 (%)";"  754 (  1.0) "
"cancer_dx_lymphoma = 1 (%)";" 2325 (  3.0) "
"cancer_dx_other = 1 (%)";" 1819 (  2.4) "
"cancer_dx_other_2 = 1 (%)";" 6466 (  8.4) "
"cancer_dx_undefined = 1 (%)";" 7833 ( 10.2) "
"cancer_group_gastro_intestinal = 1 (%)";"13814 ( 18.0) "
"cancer_group_genito_urinary = 1 (%)";"19661 ( 25.7) "
"cancer_group_thyroid = 1 (%)";" 1369 (  1.8) "
"cancer_group_breast = 1 (%)";"13096 ( 17.1) "
"cancer_group_sarcomas = 1 (%)";"  838 (  1.1) "
"cancer_group_thorax = 1 (%)";" 3853 (  5.0) "
"cancer_group_gynecology = 1 (%)";" 3765 (  4.9) "
"cancer_group_head_neck = 1 (%)";" 2183 (  2.9) "
"cancer_group_hemathological = 1 (%)";" 4866 (  6.4) "
"cancer_group_skin = 1 (%)";" 8657 ( 11.3) "
"cancer_group_CNS = 1 (%)";"  808 (  1.1) "
"cancer_group_undefined = 1 (%)";" 1647 (  2.2) "
"cancer_group_nasopharynx = 1 (%)";"   47 (  0.1) "
"cancer_group_neuroendocrine = 1 (%)";"  338 (  0.4) "
"cancer_group_other = 1 (%)";"  537 (  0.7) "
"cancer_group_other_2 = 1 (%)";" 6466 (  8.4) "
"charlson_index (median [IQR])";" 3.00 [2.00, 5.00]"
"CCI_Rheumatologic_Disease = 1 (%)";" 2311 (  3.0) "
"CCI_Any_Malignancy = 1 (%)";"76558 (100.0) "
"CCI_Metastatic_Solid_Tumor = 1 (%)";" 9401 ( 12.3) "
"CCI_Diabetes_Mild = 1 (%)";"17333 ( 22.6) "
"CCI_Mild_Liver_Disease = 1 (%)";" 2150 (  2.8) "
"CCI_Peptic_Ulcer_Disease = 1 (%)";" 4270 (  5.6) "
"CCI_Chronic_Pulmonary_Disease = 1 (%)";"13426 ( 17.5) "
"CCI_Renal_Disease = 1 (%)";"13302 ( 17.4) "
"CCI_Cerebrovascular_Disease = 1 (%)";" 5091 (  6.6) "
"CCI_Diabetes_With_Complications = 1 (%)";" 4792 (  6.3) "
"CCI_Congestive_Heart_Failure = 1 (%)";" 6124 (  8.0) "
"CCI_Dementia = 1 (%)";" 2047 (  2.7) "
"CCI_Peripheral_Artery_Disease = 1 (%)";" 4026 (  5.3) "
"CCI_Myocardial_Infarction = 1 (%)";" 3503 (  4.6) "
"CCI_Moderate_Severe_Liver_Disease = 1 (%)";" 1018 (  1.3) "
"CCI_Hemiplegia_Paraplegia = 1 (%)";" 1038 (  1.4) "
"CCI_AIDS = 1 (%)";"  360 (  0.5) "
"n_visits_outpatient (mean (SD))";" 7.24 (8.49)"
"n_visits_telehealth (mean (SD))";" 7.85 (8.63)"
"visits_outpatient_cat (%)";""
"   0";" 7313 (  9.6) "
"   1";" 7493 (  9.8) "
"   2";" 7250 (  9.5) "
"   3+";"54502 ( 71.2) "
