"level";"Overall"
"n";"";"76558"
"matched_vac (%)";"0";"22291 ( 29.1) "
"";"1";"54267 ( 70.9) "
"matched_control (%)";"0";"44707 ( 58.4) "
"";"1";"31851 ( 41.6) "
"matched_any (%)";"0";"22291 ( 29.1) "
"";"1";"54267 ( 70.9) "
"age (mean (SD))";"";"66.73 (15.05)"
"age_group (%)";"18-49";"10458 ( 13.7) "
"";"50-59";"12693 ( 16.6) "
"";"60-69";"18575 ( 24.3) "
"";"70-79";"19851 ( 25.9) "
"";"80-115";"14981 ( 19.6) "
"gender_concept_id (%)";"M";"37816 ( 49.4) "
"";"F";"38742 ( 50.6) "
"medea_group_2001 (%)";"0N";" 7982 ( 10.4) "
"";"R";"12579 ( 16.4) "
"";"U1";"12565 ( 16.4) "
"";"U2";"11918 ( 15.6) "
"";"U3";"11241 ( 14.7) "
"";"U4";"11056 ( 14.4) "
"";"U5";" 9217 ( 12.0) "
"aga_name (%)";"Alt Camp i Conca de Barberà";"  792 (  1.0) "
"";"Alt Empordà";" 1370 (  1.8) "
"";"Alt Maresme";" 1130 (  1.5) "
"";"Alt Penedès";" 1139 (  1.5) "
"";"Alt Urgell";"  286 (  0.4) "
"";"Alta Ribagorça";"   74 (  0.1) "
"";"Altebrat";"  556 (  0.7) "
"";"Anoia";" 1196 (  1.6) "
"";"Bages i Solsonès";" 2202 (  2.9) "
"";"Baix Camp i Priorat";" 1562 (  2.0) "
"";"Baix Ebre";" 1165 (  1.5) "
"";"Baix Empordà";"  494 (  0.6) "
"";"Baix Llobregat Centre i Fontsanta -L'H N";" 4997 (  6.5) "
"";"Baix Llobregat Litoral i Sant Boi";" 1626 (  2.1) "
"";"Baix Llobregat Litoral i Viladecans";" 2096 (  2.7) "
"";"Baix Llobregat Nord";" 1636 (  2.1) "
"";"Baix Montseny";"  736 (  1.0) "
"";"Baix Penedès";"   21 (  0.0) "
"";"Baix Vallès";" 2245 (  2.9) "
"";"Barcelona Dreta";" 3605 (  4.7) "
"";"Barcelona Esquerra";" 5261 (  6.9) "
"";"Barcelona Litoral Mar";" 2962 (  3.9) "
"";"Barcelona Nord";" 4952 (  6.5) "
"";"Barcelonès Nord i Baix Maresme";" 3910 (  5.1) "
"";"Berguedà";"  580 (  0.8) "
"";"Cerdanya";"    1 (  0.0) "
