"level";"0";"1";"p";"test"
"n";"";"50813";"50667";"";""
"age (mean (SD))";"";"69.57 (12.37)";"69.56 (12.37)";" 0.875";""
"age_group (%)";"18-49";" 3457 (  6.8) ";" 3447 (  6.8) ";" 0.992";""
"";"50-59";" 7559 ( 14.9) ";" 7541 ( 14.9) ";"";""
"";"60-69";"13529 ( 26.6) ";"13553 ( 26.7) ";"";""
"";"70-79";"15599 ( 30.7) ";"15496 ( 30.6) ";"";""
"";"80-115";"10669 ( 21.0) ";"10630 ( 21.0) ";"";""
"gender_concept_id (%)";"M";"26039 ( 51.2) ";"25952 ( 51.2) ";" 0.944";""
"";"F";"24774 ( 48.8) ";"24715 ( 48.8) ";"";""
"medea_group_2001 (%)";"0N";" 4860 (  9.6) ";" 4663 (  9.2) ";" 0.476";""
"";"R";" 7717 ( 15.2) ";" 7761 ( 15.3) ";"";""
"";"U1";" 8776 ( 17.3) ";" 8890 ( 17.5) ";"";""
"";"U2";" 8243 ( 16.2) ";" 8280 ( 16.3) ";"";""
"";"U3";" 7630 ( 15.0) ";" 7627 ( 15.1) ";"";""
"";"U4";" 7493 ( 14.7) ";" 7415 ( 14.6) ";"";""
"";"U5";" 6094 ( 12.0) ";" 6031 ( 11.9) ";"";""
"aga_name (%)";"Alt Camp i Conca de Barberà";"  451 (  0.9) ";"  445 (  0.9) ";" 1.000";""
"";"Alt Empordà";"  794 (  1.6) ";"  790 (  1.6) ";"";""
"";"Alt Maresme";"  656 (  1.3) ";"  645 (  1.3) ";"";""
"";"Alt Penedès";"  695 (  1.4) ";"  688 (  1.4) ";"";""
"";"Alt Urgell";"   91 (  0.2) ";"   87 (  0.2) ";"";""
"";"Alta Ribagorça";"    6 (  0.0) ";"    6 (  0.0) ";"";""
"";"Altebrat";"  275 (  0.5) ";"  279 (  0.6) ";"";""
"";"Anoia";"  684 (  1.3) ";"  692 (  1.4) ";"";""
"";"Bages i Solsonès";" 1451 (  2.9) ";" 1459 (  2.9) ";"";""
"";"Baix Camp i Priorat";"  942 (  1.9) ";"  943 (  1.9) ";"";""
"";"Baix Ebre";"  699 (  1.4) ";"  709 (  1.4) ";"";""
"";"Baix Empordà";"  189 (  0.4) ";"  182 (  0.4) ";"";""
"";"Baix Llobregat Centre i Fontsanta -L'H N";" 3722 (  7.3) ";" 3692 (  7.3) ";"";""
"";"Baix Llobregat Litoral i Sant Boi";" 1067 (  2.1) ";" 1058 (  2.1) ";"";""
"";"Baix Llobregat Litoral i Viladecans";" 1397 (  2.7) ";" 1396 (  2.8) ";"";""
"";"Baix Llobregat Nord";" 1024 (  2.0) ";" 1029 (  2.0) ";"";""
"";"Baix Montseny";"  365 (  0.7) ";"  354 (  0.7) ";"";""
"";"Baix Penedès";"    1 (  0.0) ";"    1 (  0.0) ";"";""
"";"Baix Vallès";" 1531 (  3.0) ";" 1512 (  3.0) ";"";""
"";"Barcelona Dreta";" 2564 (  5.0) ";" 2559 (  5.1) ";"";""
"";"Barcelona Esquerra";" 3870 (  7.6) ";" 3859 (  7.6) ";"";""
"";"Barcelona Litoral Mar";" 2041 (  4.0) ";" 1996 (  3.9) ";"";""
"";"Barcelona Nord";" 3542 (  7.0) ";" 3546 (  7.0) ";"";""
"";"Barcelonès Nord i Baix Maresme";" 2798 (  5.5) ";" 2779 (  5.5) ";"";""
"";"Berguedà";"  267 (  0.5) ";"  280 (  0.6) ";"";""
"";"Garraf";" 1194 (  2.3) ";" 1193 (  2.4) ";"";""
"";"Garrotxa";"  278 (  0.5) ";"  274 (  0.5) ";"";""
"";"Gironès Nord i Pla de l'Estany";" 1206 (  2.4) ";" 1203 (  2.4) ";"";""
"";"Gironès Sud i Selva Interior";"  558 (  1.1) ";"  570 (  1.1) ";"";""
"";"L'Hospitalet Sud i el Prat de Llobregat";" 2178 (  4.3) ";" 2185 (  4.3) ";"";""
"";"Lleida";" 3325 (  6.5) ";" 3323 (  6.6) ";"";""
"";"Maresme Central";" 1775 (  3.5) ";" 1769 (  3.5) ";"";""
"";"Montsià";"  485 (  1.0) ";"  474 (  0.9) ";"";""
"";"Osona";"  895 (  1.8) ";"  895 (  1.8) ";"";""
"";"Pallars";"   99 (  0.2) ";"   96 (  0.2) ";"";""
"";"Ripollès";"   87 (  0.2) ";"   81 (  0.2) ";"";""
"";"Selva Marítima";"  260 (  0.5) ";"  262 (  0.5) ";"";""
"";"Tarragonès";" 1452 (  2.9) ";" 1434 (  2.8) ";"";""
"";"Vallès Occidental Est";" 3699 (  7.3) ";" 3709 (  7.3) ";"";""
"";"Vallès Occidental Oest";"  180 (  0.4) ";"  186 (  0.4) ";"";""
"";"Vallès Oriental Central";" 2018 (  4.0) ";" 2025 (  4.0) ";"";""
"";NA;"    2 (  0.0) ";"    2 (  0.0) ";"";""
"vac_concept_id_1 (%)";"Pfizer-mRNA-BNT162b";"33880 ( 66.7) ";"33668 ( 66.4) ";"   NaN";""
"";"Moderna-mRNA-1273";" 4901 (  9.6) ";" 4916 (  9.7) ";"";""
"";"AZ-ChAdOx1";"12032 ( 23.7) ";"12083 ( 23.8) ";"";""
"";"Jansen-Ad26";"    0 (  0.0) ";"    0 (  0.0) ";"";""
"vac_concept_id_2 (%)";"Pfizer-mRNA-BNT162b";"33880 ( 66.7) ";"33668 ( 66.4) ";"   NaN";""
"";"Moderna-mRNA-1273";" 4901 (  9.6) ";" 4916 (  9.7) ";"";""
