"var_names";"smd"
"1";"age";0.01133661465596
"2";"age_group";0.01875582814694
"3";"gender_concept_id";0.00196765298961089
"4";"medea_group_2001";0.0419902857813587
"5";"aga_name";0.0234984980011116
"6";"vac_concept_id_1";0.835017454129808
"7";"vac_concept_id_2";0.750083923687662
"8";"vac_concept_id_3";0.28061780022546
"9";"vac_scheme";0.842291973988073
"10";"vac_heterologous";0.714651416289389
"11";"cancer_diagnosis_time";0.0207987622100669
"12";"cancer_dx_breast";0.0160417779790392
"13";"cancer_dx_prostate";0.00643056738608294
"14";"cancer_dx_colorectal";0.00749084557231006
"15";"cancer_dx_lung";0.00566472228962853
"16";"cancer_dx_head_neck";0.00858702394141907
"17";"cancer_dx_endometrium";0.00850193946046974
"18";"cancer_dx_cervix_uterus";0.0190993847108343
"19";"cancer_dx_bladder";0.00391257010258908
"20";"cancer_dx_liver_biliary";0.00650883770740317
"21";"cancer_dx_melanoma";0.00893693607668268
"22";"cancer_dx_pancreas";0.00904163282293241
"23";"cancer_dx_kidney";0.00213719047125645
"24";"cancer_dx_gastric";0.0117025874597493
"25";"cancer_dx_esophagus";0.0051167563494824
"26";"cancer_dx_testis";0.000661669261896723
"27";"cancer_dx_thyroid";0.00805824539286592
"28";"cancer_dx_CNS";0.00543010773216075
"29";"cancer_dx_neuroendocrine";0.00200923326334698
"30";"cancer_dx_sarcomas";0.00608237888885238
"31";"cancer_dx_leukemia";0.0135243485754904
"32";"cancer_dx_myeloma";0.0255715440986455
"33";"cancer_dx_lymphoma";0.00977891234252619
"34";"cancer_dx_other";0.00222816419831483
"35";"cancer_dx_other_2";0.00331808574697341
"36";"cancer_dx_undefined";0.00945002409908336
"37";"cancer_group_gastro_intestinal";0.0137559784089889
"38";"cancer_group_genito_urinary";0.00755519362638758
"39";"cancer_group_thyroid";0.00805824539286592
"40";"cancer_group_breast";0.0160417779790392
"41";"cancer_group_sarcomas";0.00457173391925896
"42";"cancer_group_thorax";0.00481457434595694
"43";"cancer_group_gynecology";0.0189509051601111
"44";"cancer_group_head_neck";0.00858702394141907
"45";"cancer_group_hemathological";0.0249892454529607
"46";"cancer_group_skin";0.014521235115531
"47";"cancer_group_CNS";0.00516703902633952
"48";"cancer_group_undefined";0.000798641807025021
"49";"cancer_group_nasopharynx";0.000251928700282385
"50";"cancer_group_neuroendocrine";0.00200923326334698
"51";"cancer_group_other";0.00632464581005509
"52";"cancer_group_other_2";0.00331808574697341
"53";"charlson_index";0.00201440334854662
"54";"CCI_Rheumatologic_Disease";0.000222085369438255
"55";"CCI_Any_Malignancy";0
"56";"CCI_Metastatic_Solid_Tumor";0.00547160953380046
"57";"CCI_Diabetes_Mild";0.00294764560056559
"58";"CCI_Mild_Liver_Disease";0.0109382914008435
"59";"CCI_Peptic_Ulcer_Disease";0.00211676578211807
"60";"CCI_Chronic_Pulmonary_Disease";0.0022133963327376
"61";"CCI_Renal_Disease";0.00506567021459342
"62";"CCI_Cerebrovascular_Disease";0.00359084028063557
"63";"CCI_Diabetes_With_Complications";0.00593337682243379
"64";"CCI_Congestive_Heart_Failure";0.00890054274107888
"65";"CCI_Dementia";0.00043393037077431
"66";"CCI_Peripheral_Artery_Disease";0.00107097757329335
"67";"CCI_Myocardial_Infarction";0.0021044527765222
"68";"CCI_Moderate_Severe_Liver_Disease";0.00463352351499855
"69";"CCI_Hemiplegia_Paraplegia";0.00404187730532481
"70";"CCI_AIDS";0.0103645578039222
"71";"n_visits_outpatient";0.00612681266858546
"72";"n_visits_telehealth";0.0351429710096838
"73";"visits_outpatient_cat";0.0192267938162517
