"var_names";"smd"
"age";0.0769415142664566
"age_group";0.184224451458721
"gender_concept_id";0.00580383928490651
"medea_group_2001";0.341311173837544
"aga_name";0.150959670301436
"cancer_diagnosis_time";0.0934025558568912
"cancer_dx_breast";0.0685855047066594
"cancer_dx_prostate";0.116501399734365
"cancer_dx_colorectal";0.0299207426229075
"cancer_dx_lung";0.149513604042641
"cancer_dx_head_neck";0.0210062771870155
"cancer_dx_endometrium";0.0124927735142862
"cancer_dx_cervix_uterus";0.0324931246283482
"cancer_dx_bladder";0.0393297231456562
"cancer_dx_liver_biliary";0.105492987739821
"cancer_dx_melanoma";0.040951593392269
"cancer_dx_pancreas";0.104396999467513
"cancer_dx_kidney";0.0340246465183377
"cancer_dx_gastric";0.0677290610025045
"cancer_dx_esophagus";0.0570910974527718
"cancer_dx_testis";0.0139138441182137
"cancer_dx_thyroid";0.00579808275564589
"cancer_dx_CNS";0.0799669447152614
"cancer_dx_neuroendocrine";0.0109754369914535
"cancer_dx_sarcomas";0.0274229073682089
"cancer_dx_leukemia";0.0197075263321787
"cancer_dx_myeloma";0.000407886406385448
"cancer_dx_lymphoma";0.00646820618194417
"cancer_dx_other";0.0334771698701557
"cancer_dx_other_2";0.00404262770781989
"cancer_dx_undefined";0.0105096684230353
"cancer_group_gastro_intestinal";0.0799127463979732
"cancer_group_genito_urinary";0.121982088985914
"cancer_group_thyroid";0.00579808275564589
"cancer_group_breast";0.0685855047066594
"cancer_group_sarcomas";0.0309276011198696
"cancer_group_thorax";0.151818005537319
"cancer_group_gynecology";0.0323796682856457
"cancer_group_head_neck";0.0210062771870155
"cancer_group_hemathological";0.00448405353314692
"cancer_group_skin";0.0519511772607824
"cancer_group_CNS";0.0733781094219128
"cancer_group_undefined";0.0634235059137672
"cancer_group_nasopharynx";0.0102824542943591
"cancer_group_neuroendocrine";0.0109754369914535
"cancer_group_other";0.0100648108197446
"cancer_group_other_2";0.00404262770781989
"charlson_index";0.261322255058329
"CCI_Rheumatologic_Disease";0.0144283606611824
"CCI_Any_Malignancy";0
"CCI_Metastatic_Solid_Tumor";0.273052868085343
"CCI_Diabetes_Mild";0.0348032648748782
"CCI_Mild_Liver_Disease";0.0722280527316947
"CCI_Peptic_Ulcer_Disease";0.00908496050035421
"CCI_Chronic_Pulmonary_Disease";0.0123032930914582
"CCI_Renal_Disease";0.0725988170009321
"CCI_Cerebrovascular_Disease";0.0259450678266434
"CCI_Diabetes_With_Complications";0.0244565777942206
"CCI_Congestive_Heart_Failure";0.0801162388470865
"CCI_Dementia";0.0546711329325703
"CCI_Peripheral_Artery_Disease";0.0239912266289922
"CCI_Myocardial_Infarction";0.00412599169790291
"CCI_Moderate_Severe_Liver_Disease";0.102616069108032
"CCI_Hemiplegia_Paraplegia";0.0542020084954243
"CCI_AIDS";0.0385093715115109
"n_visits_outpatient";0.0377331330007767
"n_visits_telehealth";0.113181680063566
"visits_outpatient_cat";0.299720741059467
